Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Mean_MUC2,Undefined,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
141,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.118319532244638,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
142,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.603203457920323,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0034087060759333,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0.0145692786818571,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0038630505931466,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
146,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0045989197784336,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,0.0001956217691819,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0827734215447369,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
149,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0404613021028297,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.0026431714846861,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
151,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0.997440328394701,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
152,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.002833637460719,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
154,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0015878296766085,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
155,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0274850295541477,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
156,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,0.0024004416762926,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
157,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,0.0025331687124147,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
158,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,0.945468083118404,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
